Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Beak Direction,Fan Art Beak Direction,Swift Start,Automata Ban,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener,,acceptedName,family,order,colId,wingsplainTierIndex,wingsplainTier,wingsearchLink,inFanArtPack?
Abbott's Booby,Papasula abbotti,oceania,white,"Draw 3 bonus cards, then discard 2. You may discard bonus cards you did not draw this turn.","This large, endangered seabird lives only on Christmas Island.",,,X,5,platform,1,190,,,X,,,2,,,,,,,2,L,R,,,,,,,,,X,,,X,,,,,,,,X,,X,,,X,,,,X,,,X,,X,,,Papasula abbotti,Sulidae,Suliformes,4CJ75,1,tier 0,https://navarog.github.io/wingsearch/card/263,TRUE
Acadian Flycatcher,Empidonax virescens,promoUS,brown,"Draw and discard 1 [card] from the deck. If it has [invertebrate] in its food cost, gain 1 [invertebrate] from the supply and cache 1 [invertebrate] from the supply on this bird.",The exceptionally maneuverable Acadian flycatcher can hover and even fly backward.,,,,2,wild,2,23,X,,,2,,,,,,,,,2,L,,,,X,X,X,,,,,,X,,,X,,,,,X,,,,X,X,,X,,X,X,,,X,,,X,,Empidonax virescens,Tyrannidae,Passeriformes,39HWP,,,https://navarog.github.io/wingsearch/card/573,FALSE
Acorn Woodpecker,Melanerpes formicivorus,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.","In a single dead tree, these birds may drill as many as 50,000 holes for storing acorns.",,,,5,cavity,4,46,X,,,,3,,,,,,,,3,R,R,,,X,X,,,,,,,,,,,,,X,X,,,,,,X,,X,,,,,,,,,,,Melanerpes formicivorus,Picidae,Piciformes,3Z72G,4,underused tier,https://navarog.github.io/wingsearch/card/2,TRUE
Alpine Swift,Tachymarptis melba,promoEurope,white,"Place the action cube used to play this bird in the corresponding habitat, then take that habitat's action, including activation of ""When Activated"" (brown) powers.",This large swift can fly continuously for more than 6 months.,,,,3,cavity,2,57,X,X,X,2,,,,,,,,,2,L,,,,,,,X,X,X,,,X,,,X,X,,,,,,,,X,,,X,,,,,,X,,,,,Tachymarptis melba,Apodidae,Apodiformes,8J7CN,,,https://navarog.github.io/wingsearch/card/498,FALSE
American Avocet,Recurvirostra americana,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on another bird with a [ground] nest.","American avocets build their own nests, but they also parasitize other birds' nests.",,,,6,ground,2,79,,,X,2,1,,,,,,,,3,L,L,,,X,X,,,,,,,X,,,,,,X,X,X,,,,,,X,,,,,,,X,,X,,,Recurvirostra americana,Recurvirostridae,Charadriiformes,4RP57,3,tier 2,https://navarog.github.io/wingsearch/card/3,TRUE
American Bittern,Botaurus lentiginosus,core,brown,Player(s) with the fewest birds in their [wetland] draw 1 [card].,"Bitterns hide in reeds and cattails, where they are well camouflaged.",,,,7,platform,2,107,,,X,1,,1,,1,,,,,3,R,R,,,X,X,,,,,,,X,,,,,,,X,,,,X,,,X,,,,X,,X,X,,X,,,Botaurus lentiginosus,Ardeidae,Pelecaniformes,MMYJ,3,tier 2,https://navarog.github.io/wingsearch/card/4,TRUE
American Cliff Swallow,Petrochelidon pyrrhonota,promoUS,yellow,Lay 1 [egg] on each bird in this bird’s row and column.,Female cliff swallows distribute some of their eggs among other nests in their large colonies.,,,,1,wild,3,31,X,X,X,2,,,,,,,,,2,R,,,,X,X,X,,,,,,X,,,X,X,,,,X,,,,X,,,X,,,X,,,,,,X,,Petrochelidon pyrrhonota,Hirundinidae,Passeriformes,4FDYV,,,https://navarog.github.io/wingsearch/card/574,FALSE
American Coot,Fulica americana,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].","These omnivorous birds eat a lot of algae, but also seeds, fish, insects, and mollusks.",,X,,3,platform,5,61,,,X,,1,,,,,1,,,2,R,LR,,,X,X,X,,,,,,X,,,X,,X,X,,,,,,,,,,X,,X,,,,,X,,,Fulica americana,Rallidae,Gruiformes,6K487,3,tier 2,https://navarog.github.io/wingsearch/card/5,TRUE
American Crow,Corvus brachyrhynchos,core,brown,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,"These intelligent birds steal eggs and food from other birds, and cache food for later.",,,,4,platform,2,99,X,X,X,,,,,,,1,,,1,R,L,,,X,,,,,,,,X,,,,X,,,,,,,,,,X,,X,,X,,,X,,,,,Corvus brachyrhynchos,Corvidae,Passeriformes,YNHD,2,tier 1,https://navarog.github.io/wingsearch/card/6,TRUE
American Goldfinch,Spinus tristis,core,white,Gain 3 [seed] from the supply.,"Goldfinches breed late, after the milkweek and thistle have gone to seed.",,,,3,bowl,3,23,,X,,,2,,,,,,,,2,R,R,,,X,X,,,,,,,X,,X,X,,,X,,,,,,,,,,,X,,X,,,,,X,,Spinus tristis,Fringillidae,Passeriformes,4Z662,4,underused tier,https://navarog.github.io/wingsearch/card/7,TRUE
American Kestrel,Falco sparverius,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",Kestrels track rodents by their urine and will cache surplus kills for later.,X,,,5,cavity,3,56,,X,,1,,,,1,,,,,2,L,L,,,X,X,X,,,,,,X,,,,,,,,,,X,,,,,X,,,,X,X,,,,,,Falco sparverius,Falconidae,Falconiformes,3DTGT,4,underused tier,https://navarog.github.io/wingsearch/card/8,TRUE
American Oystercatcher,Haematopus palliatus,core,white,"Draw [card] equal to the number of players +1. Starting with you and proceeding clockwise, each player selects 1 of those cards and places it in their hand. You keep the extra card.",These birds feed not just on oysters and shellfish but also other invertebrates.,,,,5,ground,2,81,,,X,2,,,,,,,,,2,R,R,,,X,X,X,,,,,,X,,,,,,,,X,,,,X,,X,,,,,,,X,,X,,,Haematopus palliatus,Haematopodidae,Charadriiformes,3J8XR,4,underused tier,https://navarog.github.io/wingsearch/card/9,TRUE
American Redstart,Setophaga ruticilla,core,brown,Gain 1 [die] from the birdfeeder.,"Redstarts get their name from the Old English word ""steart,"" meaning tail.",,,,4,bowl,2,20,X,,,1,,,1,,,,,,2,R,,X,,X,X,X,,,,,,X,,X,,,,,,,,,,,X,,,,X,,,,X,X,,X,,Setophaga ruticilla,Parulidae,Passeriformes,4X3CB,2,tier 1,https://navarog.github.io/wingsearch/card/10,FALSE
American Robin,Turdus migratorius,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",Robins have been known to roost in groups of a hundred thousand or more.,,X,,1,bowl,4,43,X,X,,1,,,1,,,,/,,1,R,R,,,X,X,,,,,,,X,,,X,X,X,,,,,,,,,,,,,,,,,X,,X,,Turdus migratorius,Turdidae,Passeriformes,59PMB,2,tier 1,https://navarog.github.io/wingsearch/card/11,TRUE
American White Pelican,Pelecanus erythrorhynchos,core,brown,Discard 1 [fish] to tuck 2 [card] from the deck behind this bird.,Pelicans work together to herd fish and then scoop them up.,,X,,5,ground,1,274,,,X,,,2,,,,,,,2,R,R,,,X,X,,,,,,,X,,X,,,X,,,X,,,X,,,X,,,,,,,X,,X,,,Pelecanus erythrorhynchos,Pelecanidae,Pelecaniformes,6TYWG,4,underused tier,https://navarog.github.io/wingsearch/card/12,TRUE
American Wigeon,Mareca americana,promoUS,brown,"All players may tuck 1 [card] from their hand behind a bird in their [wetland]. If you do, also tuck 1 [card] from the deck behind this bird.",Wigeons are sociable ducks that feed on plants both by dabbling and grazing.,,X,,5,ground,4,88,X,X,X,,2,,,,,,,,2,L,,,,X,X,X,,,,,,X,,,,X,X,X,,X,,,,,,X,,,,,,,,,,,,Mareca americana,Anatidae,Anseriformes,3Y3C6,,,https://navarog.github.io/wingsearch/card/575,FALSE
American Woodcock,Scolopax minor,core,,,The woodcock's amazing mating display involves repeated dives from 90 meters.,,,,9,ground,2,46,X,X,,2,1,,,,,,,,3,L,L,,,X,X,,,,,,,X,,,,X,,X,X,X,,,,,,,,,,,,,X,,,,,Scolopax minor,Scolopacidae,Charadriiformes,6XXHP,2,tier 1,https://navarog.github.io/wingsearch/card/13,TRUE
Anhinga,Anhinga anhinga,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.","This bird is called ""snakebird""---it swims with only head and neck above water.",X,,,6,platform,2,114,,,X,,,2,,,,,,,2,L,L,,,X,X,X,,,,,,,,,,,,,,,,X,X,,,X,,,,X,,,X,,X,,,Anhinga anhinga,Anhingidae,Suliformes,672B8,4,underused tier,https://navarog.github.io/wingsearch/card/14,TRUE
Anna's Hummingbird,Calypte anna,core,brown,"Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.",These birds' impressive mating displays involve diving from over 30 meters in the air.,,,,4,bowl,2,13,X,X,X,,,,,,,1,,,1,L,R,,,X,,,,,,,,,X,,,X,,,,,,,,,,,,X,X,,,,X,,,X,,Calypte anna,Trochilidae,Apodiformes,Q6PD,2,tier 1,https://navarog.github.io/wingsearch/card/15,TRUE
Ash-Throated Flycatcher,Myiarchus cinerascens,core,white,Lay 1 [egg] on each of your birds with a [cavity] nest.,These birds are adapted to dry places: they get all their water from their food.,,,,4,cavity,4,30,,X,,2,,,1,,,,,,3,R,,,,X,X,,,,,,X,,,X,,,,,X,,,,,,,,X,,X,,X,,,X,,,,Myiarchus cinerascens,Tyrannidae,Passeriformes,452NK,3,tier 2,https://navarog.github.io/wingsearch/card/16,FALSE
Asian Emerald Dove,Chalcophaps indica,asia,white,Lay 2 [egg] on each other bird in this column.,This is the state bird of the Indian state of Tamil Nadu.,,,,6,platform,2,44,X,X,,,1,,2,,,,,,3,L,,,,,,,,X,,,,X,,X,,X,,X,X,,,,,,,,,,,X,,,X,X,,,,Chalcophaps indica,Columbidae,Columbiformes,TGJN,3,tier 2,https://navarog.github.io/wingsearch/card/358,FALSE
Asian Koel,Eudynamys scolopaceus,asia,pink,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [platform] nest. You may go 3 over its egg limit while using this power.",Male koels may distract a bird from its nest so their partner can lay eggs there.,,,,4,,0,62,X,X,X,1,,,1,,,,,,2,R,,,,,,,,X,,,,X,,,,X,,,,,,,,,,,,,,,,,X,X,,,,Eudynamys scolopaceus,Cuculidae,Cuculiformes,3C39Q,2,tier 1,https://navarog.github.io/wingsearch/card/359,FALSE
Atlantic Puffin,Fratercula arctica,core,white,Draw 2 new bonus cards and keep 1.,Puffins' breeding areas are threatened by climate change.,,,X,8,wild,1,53,,,X,,,3,,,,,,,3,R,LR,,,X,,,X,X,,,,X,,,,,,,X,X,X,,X,,,,X,,,X,,,X,,X,X,,Fratercula arctica,Alcidae,Charadriiformes,6JMR3,1,tier 0,https://navarog.github.io/wingsearch/card/17,TRUE
Audouin's Gull,Ichthyaetus audouinii,european,brown,Draw 2 [card] from the deck. Tuck 1 behind this bird and keep the other.,"The population of Audouin's gulls is recovering nicely, from a low of about 1,000 pairs in the 1960s.",,X,,1,ground,2,132,,,X,,,1,,,,1,,,2,R,,,,,,,X,,X,,,,X,,X,,X,,,X,,,X,,,X,,X,,,,,X,,X,,,Ichthyaetus audouinii,Laridae,Charadriiformes,6N5PM,1,tier 0,https://navarog.github.io/wingsearch/card/18,FALSE
Australasian Pipit,Anthus novaeseelandiae,oceania,yellow,"Tuck 1 [card] from the deck behind each bird in your [grassland], including this one.",This grassland bird also thrives in human-made grasslands like gardens and playing fields.,,X,,3,ground,4,31,,X,,1,1,,,,,,,,2,R,,,,,,,,,,X,,X,,,X,,X,X,,X,,,,,,,,,,,X,,,,,,,Anthus novaeseelandiae,Motacillidae,Passeriformes,67KF2,4,underused tier,https://navarog.github.io/wingsearch/card/264,FALSE
Australasian Shoveler,Spatula rhynchotis,oceania,brown,Choose 1 other player. You both draw 1 [card] from the deck.,"This bird’s Māori name, kuruwhengi, means ""snuffle.""",,,,4,ground,4,75,,,X,1,1,,,,,,,,2,L,,,,,,,,,,X,,X,,,,,,X,,X,,,,,,X,,,,,,,,,X,,,Spatula rhynchotis,Anatidae,Anseriformes,9HKY5,4,underused tier,https://navarog.github.io/wingsearch/card/265,FALSE
Australian Ibis,Threskiornis moluccus,oceania,brown,"Shuffle the discard pile, then draw 2 [card] from it. Choose 1 and tuck it behind this bird or add it to your hand. Discard the other.","In urban areas, this bird is nicknamed ""bin chicken"" for its habit of eating trash.",,X,,5,platform,2,118,,X,X,1,,1,,,,1,,,3,R,L,,,,,,,X,,X,,X,,,,X,X,,X,,,,X,,,X,,X,,X,,,X,,,,,Threskiornis molucca,Threskiornithidae,Pelecaniformes,7C9X4,2,tier 1,https://navarog.github.io/wingsearch/card/266,TRUE
Australian Magpie,Gymnorhina tibicen,oceania,yellow,"Discard 1 [egg] from each bird in this row and column that has an [egg] on it, excluding this bird. For each discarded [egg], cache 2 [seed] from the supply on this bird.",These territorial birds will swoop at humans who get too close to their nests.,,,,4,platform,2,75,,X,,1,,,,2,,,,,3,R,L,,,,,,,,,X,,X,,,,,,,X,,,,,,,X,,,,X,X,X,X,,,,,Gymnorhina tibicen,Cracticidae,Passeriformes,6L7RT,3,tier 2,https://navarog.github.io/wingsearch/card/267,TRUE
Australian Owlet-Nightjar,Aegotheles cristatus,oceania,pink,"When another player takes the ""gain food"" action, gain 1 [invertebrate] from the birdfeeder, if there is one, at the end of their turn.","This small nocturnal bird is also known as the moth owl, but it is not an owl.",,,,2,cavity,2,28,X,X,X,1,,,,1,,,/,,1,N,N,,,,,,,,,X,,X,,,X,X,,,,,,,,,,,X,,X,,,X,X,,,,,Aegotheles cristatus,Aegothelidae,Apodiformes,64WVG,4,underused tier,https://navarog.github.io/wingsearch/card/268,TRUE
Australian Raven,Corvus coronoides,oceania,yellow,Cache up to 5 [wild] from your supply on this bird.,"Ravens will cache extra food under debris, in grass tussocks, or in the soil.",,,,7,platform,3,100,X,X,X,1,,,,1,,1,,,3,R,R,,,,,,,,,X,,X,,,,X,,,X,,,,,,,X,,X,,X,,X,,,,,,Corvus coronoides,Corvidae,Passeriformes,YNHK,2,tier 1,https://navarog.github.io/wingsearch/card/269,TRUE
Australian Reed Warbler,Acrocephalus australis,oceania,white,Play another bird in your [wetland]. Pay its normal cost with a 1 [egg] discount.,"These birds like to perch on dense, vertical wetland vegetation like reeds and rushes.",,,,2,bowl,3,21,,,X,1,,,,,,,,,1,L,,,,,,,,X,,X,,X,,,X,,,,,,,,,X,,,,,X,,,,,,X,X,,Acrocephalus australis,Acrocephalidae,Passeriformes,9L4B,3,tier 2,https://navarog.github.io/wingsearch/card/270,FALSE
Australian Shelduck,Tadorna tadornoides,oceania,brown,Draw 1 face-up [card] from the tray with a [cavity] or [star] nest. You may reset or refill the tray before doing so.,"These birds nest in tree cavities, holes in banks, or similar locations.",,,,3,cavity,4,113,,,X,1,1,,,,,,,,2,L,L,,,,,,,,,X,,X,,,X,,,X,,,,,,,,X,X,,,,,,,,X,,,Tadorna tadornoides,Anatidae,Anseriformes,54GHW,4,underused tier,https://navarog.github.io/wingsearch/card/271,TRUE
Australian Zebra Finch,Taeniopygia castanotis,oceania,brown,"If the player to your right has a [seed] in their personal supply, tuck a [card] from the deck behind this bird.","Zebra finches will nest in colonies of as many as 50, building round nests with a side entrance.",,,,1,wild,3,22,,X,,,1,,,,,,,,1,R,R,,,,,,,,,X,,X,,,X,,,X,,X,,,,,,,X,,X,X,X,,,,,X,,Taeniopygia guttata castanotis,Estrildidae,Passeriformes,BP4B5,4,underused tier,https://navarog.github.io/wingsearch/card/272,TRUE
Azure Tit,Cyanistes cyanus,asia,brown,"Gain 1 [invertebrate], [seed], or [fruit] from the supply.",This species will hybridize with the Eurasian Blue Tit where their ranges overlap.,,,,2,cavity,4,22,X,,,1,1,,,,,,,,2,R,R,,,,,,,X,,,,,,X,X,,,X,,,,,,,X,,X,,X,,,,,,,,,Cyanistes cyanus,Paridae,Passeriformes,32NH3,2,tier 1,https://navarog.github.io/wingsearch/card/360,TRUE
Baird's Sparrow,Ammodramus bairdii,core,brown,Lay 1 [egg] on any bird.,Spencer Fullerton Baird was the first curator of the Smithsonian.,,,,3,ground,2,23,,X,,1,1,,,,,,,,2,R,,,,X,X,,,,,,,,X,,X,,,X,,X,,,,,,,,,X,,X,,X,,,,,Ammodramus bairdii,Passerellidae,Passeriformes,9G7J8,2,tier 1,https://navarog.github.io/wingsearch/card/19,FALSE
Bald Eagle,Haliaeetus leucocephalus,core,white,Gain all [fish] that are in the birdfeeder.,Bald eagles steal fish. Benjamin Franklin thought this was a bad choice for the US national bird.,,,,9,platform,1,203,,,X,,,2,,1,,,,,3,L,L,,,X,X,,,,,,,,,,,,,,X,,,,X,,,X,,,,X,,X,X,,X,,,Haliaeetus leucocephalus,Accipitridae,Accipitriformes,3JBJW,2,tier 1,https://navarog.github.io/wingsearch/card/20,TRUE
