Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Swift Start,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener,,acceptedName,family,order,colId,wingsplainTierIndex,wingsplainTier,wingsearchLink,inFanArtPack?
Abbott's Booby,Papasula abbotti,oceania,white,"Draw 3 bonus cards, then discard 2. You may discard bonus cards you did not draw this turn.","This large, endangered seabird lives only on Christmas Island.",,,X,5,platform,1,190,,,X,,,2,,,,,,,2,,,,,,,,X,,,X,,,,,,,,X,,X,,,X,,,,X,,,X,,X,,,Papasula abbotti,Sulidae,Suliformes,4CJ75,1,tier 0,https://navarog.github.io/wingsearch/card/263,TRUE
Acorn Woodpecker,Melanerpes formicivorus,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.","In a single dead tree, these birds may drill as many as 50,000 holes for storing acorns.",,,,5,cavity,4,46,X,,,,3,,,,,,,,3,,X,X,,,,,,,,,,,,,X,X,,,,,,X,,X,,,,,,,,,,,Melanerpes formicivorus,Picidae,Piciformes,3Z72G,4,underused tier,https://navarog.github.io/wingsearch/card/2,TRUE
American Avocet,Recurvirostra americana,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on another bird with a [ground] nest.","American avocets build their own nests, but they also parasitize other birds' nests.",,,,6,ground,2,79,,,X,2,1,,,,,,,,3,,X,X,,,,,,,X,,,,,,X,X,X,,,,,,X,,,,,,,X,,X,,,Recurvirostra americana,Recurvirostridae,Charadriiformes,4RP57,3,tier 2,https://navarog.github.io/wingsearch/card/3,TRUE
American Bittern,Botaurus lentiginosus,core,brown,Player(s) with the fewest birds in their [wetland] draw 1 [card].,"Bitterns hide in reeds and cattails, where they are well camouflaged.",,,,7,platform,2,107,,,X,1,,1,,1,,,,,3,,X,X,,,,,,,X,,,,,,,X,,,,X,,,X,,,,X,,X,X,,X,,,Botaurus lentiginosus,Ardeidae,Pelecaniformes,MMYJ,3,tier 2,https://navarog.github.io/wingsearch/card/4,TRUE
American Coot,Fulica americana,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].","These omnivorous birds eat a lot of algae, but also seeds, fish, insects, and mollusks.",,X,,3,platform,5,61,,,X,,1,,,,,1,,,2,,X,X,X,,,,,,X,,,X,,X,X,,,,,,,,,,X,,X,,,,,X,,,Fulica americana,Rallidae,Gruiformes,6K487,3,tier 2,https://navarog.github.io/wingsearch/card/5,TRUE
American Crow,Corvus brachyrhynchos,core,brown,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,"These intelligent birds steal eggs and food from other birds, and cache food for later.",,,,4,platform,2,99,X,X,X,,,,,,,1,,,1,,X,,,,,,,,X,,,,X,,,,,,,,,,X,,X,,X,,,X,,,,,Corvus brachyrhynchos,Corvidae,Passeriformes,YNHD,2,tier 1,https://navarog.github.io/wingsearch/card/6,TRUE
American Goldfinch,Spinus tristis,core,white,Gain 3 [seed] from the supply.,"Goldfinches breed late, after the milkweek and thistle have gone to seed.",,,,3,bowl,3,23,,X,,,2,,,,,,,,2,,X,X,,,,,,,X,,X,X,,,X,,,,,,,,,,,X,,X,,,,,X,,Spinus tristis,Fringillidae,Passeriformes,4Z662,4,underused tier,https://navarog.github.io/wingsearch/card/7,TRUE
American Kestrel,Falco sparverius,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",Kestrels track rodents by their urine and will cache surplus kills for later.,X,,,5,cavity,3,56,,X,,1,,,,1,,,,,2,,X,X,X,,,,,,X,,,,,,,,,,X,,,,,X,,,,X,X,,,,,,Falco sparverius,Falconidae,Falconiformes,3DTGT,4,underused tier,https://navarog.github.io/wingsearch/card/8,TRUE
American Oystercatcher,Haematopus palliatus,core,white,"Draw [card] equal to the number of players +1. Starting with you and proceeding clockwise, each player selects 1 of those cards and places it in their hand. You keep the extra card.",These birds feed not just on oysters and shellfish but also other invertebrates.,,,,5,ground,2,81,,,X,2,,,,,,,,,2,,X,X,X,,,,,,X,,,,,,,,X,,,,X,,X,,,,,,,X,,X,,,Haematopus palliatus,Haematopodidae,Charadriiformes,3J8XR,4,underused tier,https://navarog.github.io/wingsearch/card/9,TRUE
American Redstart,Setophaga ruticilla,core,brown,Gain 1 [die] from the birdfeeder.,"Redstarts get their name from the Old English word ""steart,"" meaning tail.",,,,4,bowl,2,20,X,,,1,,,1,,,,,,2,X,X,X,X,,,,,,X,,X,,,,,,,,,,,X,,,,X,,,,X,X,,X,,Setophaga ruticilla,Parulidae,Passeriformes,4X3CB,2,tier 1,https://navarog.github.io/wingsearch/card/10,FALSE
